,Test_R2,Test_MSE,Test_RMSE,Test_MAE,Model_Type
XGBoost,0.30047160387039185,146.2093963623047,12.091707752104526,9.833152770996094,Original
Linear Regression,0.28699584660601485,149.0259704868078,12.20761936197258,10.012765255795713,Original
Random Forest,0.17103726130965502,173.2626325424332,13.162926442946993,10.542788729910953,Original
Decision Tree,-0.17357643261634892,245.29081068964862,15.661762694206825,12.317205099941118,Original
